IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.45.220,4,4,0.00,172.41,13.50
141.101.121.182,4,4,0.00,174.78,13.42
104.24.4.17,4,4,0.00,178.90,13.40
172.64.229.207,4,4,0.00,71.96,10.44
1172.64.88.178,4,4,0.00,174.67,13.38
172.64.40.236,4,4,0.00,167.23,12.93
172.64.229.206,4,4,0.00,63.04,11.14
172.64.86.168,4,4,0.00,166.66,8.78
104.24.16.250,4,4,0.00,179.81,13.57
172.64.229.232,4,4,0.00,72.49,13.53
172.64.40.181,4,4,0.00,169.43,13.37
104.24.5.44,4,4,0.00,177.51,13.36
104.24.11.71,4,4,0.00,175.66,13.34
172.64.49.33,4,4,0.00,162.69,13.31
172.64.32.128,4,4,0.00,167.52,13.24
104.24.1.30,4,4,0.00,180.31,12.69
