IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:f4:f6:dcb6:b53a:bc86:caa4,4,4,0.00,131.16,0.00
2606:4700:f4:0:d9:f768:6c39:389f,4,4,0.00,131.42,0.00
2606:4700:f4:f6:dc1b:cb9e:ccc5:130b,4,4,0.00,131.64,0.00
2606:4700:f4:0:d9:f780:3476:3f1f,4,4,0.00,132.90,0.00
2606:4700:f4:0:6dd3:5235:d63c:7dac,4,4,0.00,133.02,0.00
2606:4700:f4:f6:dc1b:cb9e:1968:b3a5,4,4,0.00,134.01,0.00
2606:4700:f4::d0:428f:4e5b,4,4,0.00,135.88,0.00
2606:4700:f4:f6:dcb6:b569:e278:8c41,4,4,0.00,138.53,0.00
2606:4700:f4::f349,4,4,0.00,139.58,0.00
2606:4700:f4:f6:dcfc:a592:97e8:cc30,4,4,0.00,152.58,0.00
